Проект,Краткое описание,Категории,Цена,Заявки,Link
Корректировка рекламы в google,Есть уже работающая рекламная кампания в Google. Но есть моменты отсутствия показа по ключевым словам. Необходимо проверить настройки и при необходимости откорректировать,['Контекстная реклама'],,2 заявки,https://www.weblancer.net/projects/kontekstnaya-reklama-88/korrektirovka-reklamy-v-google-1036033/
Доработки сайта Wordpree|Woocomerce,1) Проблемы с адресом на сайте. Склад Шиптор – получили от них ответ почему может быть данная причина. (Фото снизу) 2) При оформление часто выбирается автоматом пункт выдачи и при этом клиент путаетса...,['Веб-программирование'],,2 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/dorabotki-sajta-wordpree-woocomerce-1036031/
Задание на разработку проекта,"Задание на разработку проекта https://docs.google.com/document/d/1aSwE84ootjY9UPfMNX-8eLkGDvWGiFAmy2Nfe1oCWuE/edit?usp=sharing Ответ от вас Антибот = ""Не Бот"" без этого ответа удаляю и кидаю...",['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/zadanie-na-razrabotku-proekta-1036027/
"Написание, составление, оформления КП","Реализуем твердое топливо по всей территории Украины , а также на экспорт. Вагонными, машинными нормами. Необходимо составление КП на украинском и английском языке. (продающий текст)",['Продающие тексты'],,нет заявок,https://www.weblancer.net/projects/prodayushie-teksty-95/napisanie-sostavlenie-oformleniya-kp-1036026/
Разработка логотипа,"Необходимо разработать логотип, что то похожее,что нарисовано на образцах, можно предлагать ваши идеи,но необходимо чтоб там был изображен стилистический цветок. фирма ООО ""Амарант"" Амарант-...",['Логотипы и\xa0Знаки'],,44 заявки,https://www.weblancer.net/projects/logotipy-i-znaki-7/razrabotka-logotipa-1031803/
Верстальщик на правки фронта,"Есть небольшой проект (одна страница+ЛК) на Laravel с фронтом без API в который нужно внести правки. В основном это багтрекинг и мелкие доделки (барахлит слайдер, текст спойлера не покрыт CSS, несколь...",['HTML-верстка'],41$,1 заявка,https://www.weblancer.net/projects/html-verstka-32/verstalyshik-na-pravki-fronta-1036025/
Креативные для фейсбука,"Создать продающие баннеры на facebook, подробности исполнителю",['Баннеры'],13$,9 заявок,https://www.weblancer.net/projects/bannery-8/kreativnye-dlya-fejsbuka-1036022/
Веб программирование,Нужно сделать пару задач по фронту и бэк енд,['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/veb-programmirovanie-1036024/
Разработка электронного обучающего курса,На основе заданного сценария и методических материалов создать электронный учебный курс для детей. При оформлении использовать элементы анимации и диалоговых тренажеров. Применить геймификацию. По воз...,['Презентации'],,нет заявок,https://www.weblancer.net/projects/prezentatcii-60/razrabotka-elektronnogo-obuchayushego-kursa-1036023/
Тестовое задание на C# (десктопное приложение),"Добрый день, краткий обзор задания тут: https://youtu.be/mJRVkZYjx0E ТЗ будет разрабатываться в процессе сообща, поэтому если любите изобретать, то это точно для Вас. Проект большой, заданий очень мно...",['Прикладное ПО'],,1 заявка,https://www.weblancer.net/projects/prikladnoe-po-23/testovoe-zadanie-na-c-desktopnoe-prilozhenie-1035918/
"Видео монтаж, запись аудио, видео","Монтирую видео, записываю аудио (могу сочинить песню и записать её) Делаю и обрабатываю фото и видео",['Видеомонтаж'],,нет заявок,https://www.weblancer.net/projects/videomontazh-41/video-montazh-zapis-audio-video-1036018/
Ищем веб-разработчика со знаниями laravel,Ищем веб-разработчика со знаниями laravel для доработки интернет-магазина на CMS Bagisto Наш ИМ : http://1705374.macbook.web.hosting-test.net/ Задача первая — интегрировать в админку сайта поля для вв...,['Интернет-магазины'],,3 заявки,https://www.weblancer.net/projects/internet-magaziny-61/ishem-veb-razrabotchika-so-znaniyami-laravel-1036019/
SEO оптимизация Osclass для вывода городов ЧПУ URL SEF,SEO оптимизация Osclass для вывода городов ЧПУ URL SEFSEO оптимизация Osclass для вывода городов ЧПУ URL SEF вида site.ru/category/city city.site.ru/category,['Веб-программирование'],50$,нет заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/seo-optimizatciya-osclass-dlya-vyvoda-gorodov-chpu-url-sef-1036017/
Разработать концепцию для страницы + подготовить посты для Instagram,"Англоязычная аудитория, регион USA. Необходимо подготовить посты на 2 месяца публикаций в Instagram. Предложить стратегию по продвижению с 0 брендовой страницы, исходя из нашей специфики товара. Предл...",['Социальные сети (SMM и\xa0SMO)'],,4 заявки,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/razrabotat-kontceptciyu-dlya-stranitcy-podgotovit-posty-dlya-instagram-1036015/
Редактирование сайта,"Доброе утро всем!!! Необходимо отредактировать сайт в соответствии с аудитом. www.prans.ru Сайт на django framework'е. Если есть ещё какие идеи, рад выслушать. Жду КП.",['Системы управления (CMS)'],,2 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/redaktirovanie-sajta-1036005/
Внести новости на сайте,Для сайта на wordpress в новостной ленте https://screencast.com/t/2djQEk7vX3jZ Нужно разместить серию статей с минимальной версткой: https://docs.google.com/document/d/19bSAyOJ9PPHpFQvehc5swYlKLZUsKEq...,['Наполнение сайтов'],,4 заявки,https://www.weblancer.net/projects/napolnenie-sajtov-35/vnesti-novosti-na-sajte-1036014/
Забираем данные из CSV постим по API REST,"Сделать несколько API REST1. есть несколько клиентов, у каждого своя система, на каждую систему надо сделать АПИ2. на каждого клиента есть свой файл ЦСВ, структура одинаковая3. создаем настройку на ка...",['Веб-программирование'],,нет заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/zabiraem-dannye-iz-csv-postim-po-api-rest-1036013/
Расширенные сниппеты в Google,"Ищем специалиста по JSON и Shema.org, который поможет настроить плагин для целевых страниц сайта и проконсультирует по расширенным сниппетам.",['Поисковые системы (SEO)'],,2 заявки,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/rasshirennye-snippety-v-google-1036012/
Рерайт статей.,Нужно будет поделать рерайт нескольких статей. Соответственно они должны быть уникальные,['Рерайтинг'],,9 заявок,https://www.weblancer.net/projects/rerajting-94/rerajt-statej-1036009/
Мобильное приложение (Android),"Добрый день, Нужно разработать простое мобильное приложение на Android (сроки 10-12 дней) - Среда Android Studio - Программа Eclipse IDE и установка - Обзор среды Andriod SDK - Установка и настройка A...",['Мобильные приложения'],,нет заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/mobilynoe-prilozhenie-android-1036008/
Редизайн логотипа.,"Приветствую! Сколько будет стоить работа и сколько по времени займет? Прикрепляю файлы: логотип в данный момент, и пожелания заказчика. ________________________________ Причина смены логотипа: несовре...",['Логотипы и\xa0Знаки'],,7 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/redizajn-logotipa-1035675/
Найти ошибки в терминах по Анатомии человека,Прикрепил 9 картинок по анатомии человека с терминами. НУЖНО: Найти фактические и орфографические ошибки в терминах. Кто больше найдет - тому и премия. СРОК: 14 апреля 12:00 мск ФОРМАТ ОТВЕТА: нумеров...,['Редактирование и\xa0Корректура'],3$,1 заявка,https://www.weblancer.net/contests/redaktirovanie-i-korrektura-49/najti-oshibki-v-terminah-po-anatomii-cheloveka-1035495/
Помощь по Opencart3,Есть Opencart. Есть CRM. Из CRM я могу делать http-запросы при смене статуса заказа в CRM. Задача: Необходимо менять статус заказа через http-запрос. То есть: статус заказа изменился в CRM -> из CR...,"['Интернет-магазины', 'Системы управления (CMS)']",,1 заявка,https://www.weblancer.net/projects/internet-magaziny-61/pomosh-po-opencart3-1036004/
Почистить сайт от вирусов,"Есть сайт, в php-файлах которого постоянно появляются строки типа ""<script type='text/javascript' src='https://ws.stivenfernando.com/stm?v=2.2.0'></script>"". ...",['Тестирование сайтов'],,4 заявки,https://www.weblancer.net/projects/testirovanie-sajtov-37/pochistit-sajt-ot-virusov-1036003/
Лабораторные работы по алгоритмам и структурам данных,Нужно выполнить в течении двух дней,"['Рефераты, Курсовые и\xa0Дипломы']",,нет заявок,https://www.weblancer.net/projects/referaty-kursovye-i-diplomy-47/laboratornye-raboty-po-algoritmam-i-strukturam-dannyh-1036000/
Перенос и установка сайта,"Добрый день. Нужна помощь: 1) перенести готовый, автонаполняемый сайт на хостинг ( проверить работоспособность) , 2) повесить рекламные баннеры. Если будет необходимость, на Ваш взгляд, как специалист...",['Системы управления (CMS)'],,3 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/perenos-i-ustanovka-sajta-1035999/
Нужно скопировать лендинг и изменить инф,"http://remont-tv.com.ua/ Контакты, обратная связь и цены и чуть поправить цвет.",['HTML-верстка'],,15 заявок,https://www.weblancer.net/projects/html-verstka-32/nuzhno-skopirovat-lending-i-izmenit-inf-1035998/
Дизайн логотип + этикетка,"товар/сайт Автомобильные коврики ЭВА название EVA Premium Четкий и контрастный логотип в графичном стиле (тонкие и четкие линии, минимум градиентов, а лучше вообще без них, никакого растра) Постаратьс...","['Логотипы и\xa0Знаки', 'Дизайн продукции']",,25 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/dizajn-logotip-etiketka-1035997/
Сделать внутреннюю страницу интернет магазина на чистом бутстрап,"Сделать прототип внутренней страницы интернет магазина на чистом бутстрап 4 с адаптивом. ВАЖНО! Это прототип, поэтому использовать только компоненты и стили самого бутстрап. ННИКАКИХ дополнительных ст...",['HTML-верстка'],20$,4 заявки,https://www.weblancer.net/projects/html-verstka-32/sdelat-vnutrennyuyu-stranitcu-internet-magazina-na-chistom-butstrap-1035996/
Дизайн всплывающего баннера,"Требуется помощь веб-дизайнера в разработке дизайна для всплывающего баннера. Вся работа по тз, оплата сдельно на карту. Задание не сложное, бюджет тоже :) Работу можно начать сразу.",['Баннеры'],,14 заявок,https://www.weblancer.net/projects/bannery-8/dizajn-vsplyvayushego-bannera-1035995/
Продвижение инстаграм,"Нужен специалист по продвижению, инстаграмм: лиды родителейдетей 5-7 лет, город Казань, желательно с определенной геолокацией внутри г.Казани. Услуга: экспресс-обучение чтению за 10 занятий. Привлечен...",['Социальные сети (SMM и\xa0SMO)'],,11 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/prodvizhenie-instagram-1035994/
Настроить рассылку сайта,Нужно сделать рассылку сайта: Возможность редактировать рассылку админу Вывод из спама Настроить крон Сделать возможность отписки от рассылки (не удаляя уч. запись) Добавить возможность ручного добавл...,['Веб-программирование'],,нет заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nastroit-rassylku-sajta-1035993/
Разработка сайта консалтинговой компании,"Необходимо разработать сайт консалтинговой компании Тип сайта: сайт-визитка Основная аудитория: Предприятия малого и среднего бизнеса География аудитории: Украина и мир Стиль: строгий, деловой Цели: 1...",['Сайты «под ключ»'],,22 заявки,https://www.weblancer.net/projects/sajty-pod-klyuch-58/razrabotka-sajta-konsaltingovoj-kompanii-1035986/
Перевод текстов для сайта на польский,Необходимо перевести тексты для сайта на польский язык. Пример текстов: https://tehnolog.com.ua/catalog/mixers/taps-dry-bulk-products-based-chetyrehpolosovogo-helical-screw Оплата б/н,['Переводы'],,7 заявок,https://www.weblancer.net/projects/perevody-50/perevod-tekstov-dlya-sajta-na-polyskij-1035985/
Сайт для клиники,"Здравствуйте, необходимо разработать сайт для клиники. Как пример можно использовать этот сайт стоматологии https://apollonia.ru/ceny очень понравился. Или можно сделать что то похожее. Обязательно ну...",['Сайты «под ключ»'],1000$,70 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sajt-dlya-kliniki-1035760/
Disklaimer об использовании куки на Битрикс,"Сайт на Битрикс Нужно чтобы при первом заходе на сайт внизу экрана всплывал небольшой disklaimer с текстом и кнопкой, и чтобы текст редактировался. Нужно только вывести его, стилизация не нужна.",['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/disklaimer-ob-ispolyzovanii-kuki-na-bitriks-1035984/
Научить копировать лендинги,"Сайт http://remont-tv.com.ua нужно скопировать. и научить. + изменить контакты и инфо Заоблачные ценники, сразу удаляю. + постоянная связь, время до 15 00 дня",['HTML-верстка'],,5 заявок,https://www.weblancer.net/projects/html-verstka-32/nauchit-kopirovat-lendingi-1035983/
Необходимо сверстать сайт,"Здравствуйте уважаемые фрилансеры, посмотрите пожалуйста вот этот сайт - http://playdoh-lagaleriedesespeces.com/en/ Нам необходимо сверстать что-то похожее. Оцените пожалуйста по стоимости и по срокам...",['HTML-верстка'],,5 заявок,https://www.weblancer.net/projects/html-verstka-32/neobhodimo-sverstat-sajt-1035982/
Лабораторная работа по Java в Netbeans IDE,Написана подробная инструкция. Нужно просто запустить на Netbeans IDE сделать скрины и прикрепить папку проекта,['Лабораторные работы'],,1 заявка,https://www.weblancer.net/projects/laboratornye-raboty-100/laboratornaya-rabota-po-java-v-netbeans-ide-1035980/
"Создание интернет магазина ""под Ключ!""","Необходимо сделать интернет магазин ПОД КЛЮЧ! Оплата по факту выполнения работы. Только так! можно БС Договор заключим. Но рассмотрю и на другом движке, только WP не предлагать. Есть задачи по оптимиз...",['Сайты «под ключ»'],,21 заявка,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdanie-internet-magazina-pod-klyuch-1030448/
Логотип для детской клиники,"Привет, Задача: Сделать логотип для детской клиники (Киевская Областная Детская Больница) Референс на лого во вложении. Идея - отобразить заботу матери с ребенком (мать обнимает ребенка) На логотипе в...",['Логотипы и\xa0Знаки'],,27 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/logotip-dlya-detskoj-kliniki-1035979/
Создание комплексного сайта под ключ,"Требования: Создание комплексного сайта,в котором есть: 1) Интернет магазин с товаром 2) Интернет эквайринг (оплата услуг,выплаты з/п, реферальная система) 3) Личные кабинеты для пациента и доктора со...",['Сайты «под ключ»'],,16 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdanie-kompleksnogo-sajta-pod-klyuch-1035978/
Лабораторная работа по matlab simulink,Лабораторная работа №5 по matlab simulink.,['Лабораторные работы'],,нет заявок,https://www.weblancer.net/projects/laboratornye-raboty-100/laboratornaya-rabota-po-matlab-simulink-1035977/
Перевод мобильного приложения с русского на португальский.,"Необходимо выполнить перевод мобильного приложения с русского на португальский. Через очень удобный сервис: будут скриншоты, где используются это фразы (для понимания контекста). В идеале от носителя ...",['Переводы'],,3 заявки,https://www.weblancer.net/projects/perevody-50/perevod-mobilynogo-prilozheniya-s-russkogo-na-portugalyskij-1035970/
Перевод мобильного приложения с русского на испанский.,"Необходимо выполнить перевод мобильного приложения с русского на испанский. Через очень удобный сервис: будут скриншоты, где используются это фразы (для понимания контекста). В идеале от носителя язык...",['Переводы'],,5 заявок,https://www.weblancer.net/projects/perevody-50/perevod-mobilynogo-prilozheniya-s-russkogo-na-ispanskij-1035969/
Логотип для компании,"Требуется логотип для сервисного цента по ремонту цифровой (от смартфонов до навигационного оборудования-смартфоны, планшеты,регистраторы,ноутбуки,нетбуки,смарт часы, навигаторы и т.п.) техники. Назва...",['Логотипы и\xa0Знаки'],,26 заявок,https://www.weblancer.net/projects/logotipy-i-znaki-7/logotip-dlya-kompanii-1035963/
Записать свою песню.,"Меня зовут Олег. Я хотел бы записать свои песни, скопленные за год,сделать аранжировку, протестмть в студии и спеть на мероприятии. Мне очень нужна ваша помощь.",['Музыка и\xa0Звуки'],,4 заявки,https://www.weblancer.net/projects/muzyka-i-zvuki-40/zapisat-svoyu-pesnyu-1035959/
Требуется продвижение двух сайтов,"Требуется СЕО-продвижение двух сайтов mortem.rip/ и avoska-mp.com/ Задачи: 1. Внутренняя СЕО-оптимизация. Формировать задачи для программиста, принимать их после выполнения. Самостоятельно программиро...",['Поисковые системы (SEO)'],,10 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/trebuetsya-prodvizhenie-dvuh-sajtov-1035976/
Необходимо разработать дизайн сайта и мобильного приложения,Здравствуйте уважаемые фрилансеры. Необходимо разработать дищайн сайта и моб.приложения согласно брифу. Логоттп в наличии. Работать нужно до полного утверждения. Ищем мастера своего дела. Сайт и прило...,['Дизайн мобильных приложений'],100$,11 заявок,https://www.weblancer.net/projects/dizajn-mobilynyh-prilozhenij-82/neobhodimo-razrabotat-dizajn-sajta-i-mobilynogo-prilozheniya-1035975/
Сайт знакомств платный,"Требуется сайт знакомств Мультиязычный С оплатой за общение с девушками Прошу писать, только с опытом, по созданию сайтов знакомств",['Сайты «под ключ»'],3500$,14 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sajt-znakomstv-platnyj-1035974/
Интернет магазин,"Нужно сделать интернет магазин, каталог с 15ю фильтрами. Сортировка по дате, цене. Поиск. Калькулятор стоимости по 4 данным. Регистрация, одноуровневая реферальная программа. Админка для добавления то...",['Интернет-магазины'],300$,18 заявок,https://www.weblancer.net/projects/internet-magaziny-61/internet-magazin-1035968/
Написать серию текстов,"Есть сайт центра по ремонту АКПП transmissionpro.ru Есть на нём страницы по маркам автомобилей (Например, https://transmissionpro.ru/service/remont-akpp/volvo) На них есть модели (они под картинками м...",['Копирайтинг'],,7 заявок,https://www.weblancer.net/projects/kopirajting-48/napisat-seriyu-tekstov-1035967/
Создание микросайта,"Господа, доброй ночи! Требуется: 1) создать ""под ключ"" симпатичный, простой и удобный (в том числе и для просмотра его с мобильного устройства) микросайт для продвижения бухгалтерских и юрид...",['Сайты «под ключ»'],,24 заявки,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdanie-mikrosajta-1035966/
Монограмму (вензель),Нужно разработать монограмму (вензель) Филатов Игорь Николаевич,['Дизайн продукции'],,8 заявок,https://www.weblancer.net/projects/dizajn-produktcii-18/monogrammu-venzely-1035964/
Сверстать сайт и посадить на WP,Нужна верстка информационного сайта на три страницы и посадка на WP. Верстка по БЭМу. HTML5. Адаптивно. Кроссбраузерно. JS: можно использовать готовые плагины на jq типа select2 или slick. Но если код...,['HTML-верстка'],,23 заявки,https://www.weblancer.net/projects/html-verstka-32/sverstat-sajt-i-posadit-na-wp-1035962/
Наполнение сайта информацией,Ищу помощника для наполнения сайта информацией работа онлайн инфу и инструкции предоставляю надо внимательно и аккуратно все сделать необходимы минимальные знания Вордпресс либо я научу Ваши пожелания...,['Наполнение сайтов'],,22 заявки,https://www.weblancer.net/projects/napolnenie-sajtov-35/napolnenie-sajta-informatciej-1035961/
Написать статью про Садовые Качели,Требования к статье https://market.yandex.ru/journal/info/trebovanija-k-tovarnim-podborkam Тема статьи Садовые качели Объем статьи 4000 - 5000 символов (без пробелов). Уникальность 100% (проверять буд...,['Копирайтинг'],9$,10 заявок,https://www.weblancer.net/projects/kopirajting-48/napisat-statyyu-pro-sadovye-kacheli-1035960/
Создать дизайн биллинга продающего телевизионный контент.,Web версия дизайна: Главная страница: Вход/регистрация. Информация об услугах. Устройства для просмотра контента. Пакеты и цены. Контактная информация. Личный кабинет: Покупка и управление услугами. М...,['Дизайн сайтов'],,21 заявка,https://www.weblancer.net/projects/dizajn-sajtov-9/sozdat-dizajn-billinga-prodayushego-televizionnyj-kontent-1035958/
Прокликать пару кнопок,нужно прокликать пару кнопок,['Служба поддержки'],1$,6 заявок,https://www.weblancer.net/projects/sluzhba-podderzhki-56/proklikat-paru-knopok-1035957/
Сайт художника с возможностью продавать постеры подбирая раму с ценой,сайт художника с возможностью продавать постеры подбирая картину художника и раму с ценой в зависимости от размера,['Сайты «под ключ»'],,18 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sajt-hudozhnika-s-vozmozhnostyyu-prodavat-postery-podbiraya-ramu-s-tcenoj-1035956/
Дизайн банеров для сайта и рекламы на постоянно,Нужен дизайнер для регулярного обновления банеров для сайта и онлайн рекламы. Компания занимается очищением воздуха в помещениях. жду предложений,['Баннеры'],,28 заявок,https://www.weblancer.net/projects/bannery-8/dizajn-banerov-dlya-sajta-i-reklamy-na-postoyanno-1035955/
Программа для подсчета интенсивности движения,"Программа для подсчета интенсивности движения Задание тут https://docs.google.com/document/d/1Fid6Wa9fzq_fHoVtd613cZ3kCjnct-7l_UELi3foyIY/edit?usp=sharing Ответ от вас Антибот = ""Не Бот"" без...",['Прикладное ПО'],,нет заявок,https://www.weblancer.net/projects/prikladnoe-po-23/programma-dlya-podscheta-intensivnosti-dvizheniya-1035951/
Дипломная работа,Тема: Исследование и анализ требований и спецификаций безопасности для сотовых систем связи пятого поколения,"['Рефераты, Курсовые и\xa0Дипломы']",,3 заявки,https://www.weblancer.net/projects/referaty-kursovye-i-diplomy-47/diplomnaya-rabota-1035950/
Создать GUI из двух страниц (сайт видеонаблюдения),"Необходимо сверстать и дополнить элементами динамики графический интерфейс для сайта виденаблюдения (десктоп-приложение, не требуется адаптировать под мобильные). Фактически интерфейс состоит из двух ...",['Дизайн сайтов'],,4 заявки,https://www.weblancer.net/projects/dizajn-sajtov-9/sozdat-gui-iz-dvuh-stranitc-sajt-videonablyudeniya-1035948/
Дизайн всплювающего окна,"Требуется помощь веб-дизайнера в разработке дизайна для всплывающего окна. Вся работа по тз, оплата сдельно на карту. Задание не сложное, бюджет тоже :) Работу можно начать сразу.",['Дизайн сайтов'],,18 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/dizajn-vsplyuvayushego-okna-1035949/
Статичный баннер,Нужен статичный баннер 814*392 для благотворительной организации. Хотелка простая: на фото (фото прилагаю) ребенка наложить благотворительный текст. Какие баннеры сейчас и более детально обсудим в лк.,['Баннеры'],,22 заявки,https://www.weblancer.net/projects/bannery-8/statichnyj-banner-1035947/
Помочь настроить zoom,"Есть 2 ноутбука. На одном из них, при совместной демонстрации экрана, не работает панель с рисованием. Всё время активен только режим ""мышь"" Антивирусы и брандмауэр отключал, зум переустанав...",['Системное администрирование'],5$,1 заявка,https://www.weblancer.net/projects/sistemnoe-administrirovanie-54/pomoch-nastroit-zoom-1035946/
Разработать принт для футболки,"Нужно разработать принт для футболки. Имеется пример для четкого понимаю, того что нужно.",['Дизайн продукции'],,17 заявок,https://www.weblancer.net/projects/dizajn-produktcii-18/razrabotat-print-dlya-futbolki-1035945/
С++ Написать класс из 4-х методов,"Все методы для структуры block, состоящей из произвольного кол-ва элементов. Каждый элемент состоит из { str, vector } 1. Сложить 2 блока одинаковой структуры. 2. Напмсать многопоточный цикл для переб...",['Системное программирование'],15$,1 заявка,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/s-napisat-klass-iz-4-h-metodov-1034581/
Нужен человек для монтажа видео для канала (отбор!),"Требования: 1) Цветокоррекция - реалистичная (киношная не одобряется). Пересветы, баланс белого и прочие дефекты должны исправляться. Картинка должна быть светлая (не пересвеченная) и приятная. 2) Дин...",['Видеомонтаж'],,19 заявок,https://www.weblancer.net/projects/videomontazh-41/nuzhen-chelovek-dlya-montazha-video-dlya-kanala-otbor-1035943/
